,train_losses,valid_losses,mAPs,precisions,recalls,f1s
117,0.007831043423206176,15.46683236530849,0.056585342509593496,0.07039550141959781,0.1293800539083558,0.09104580320391484
118,0.007807882775042979,14.948321785245623,0.4797657059921211,0.5019670793012827,0.5471698113207547,0.5028675701005098
119,0.010894132426606034,14.912272419248309,0.038421124765864144,0.042709867452135494,0.07816711590296496,0.05523809523809524
120,0.008490912387815287,14.865675687789917,0.0,0.0,0.0,0.0
121,0.009522765154405585,15.14205435344151,0.07863363052042296,0.05731622007968613,0.08625336927223719,0.06863422291993719
122,0.009125345491997476,14.647496461868286,0.5317301333787081,0.4214691203167706,0.5471698113207547,0.46632818370836115
123,0.0158361457112544,14.453129529953003,0.4812073437420536,0.48048154681366917,0.5471698113207547,0.4987426826106281
124,0.009167651865490765,14.786306142807007,0.5029880967061877,0.48038386028183716,0.5471698113207547,0.4996745572426836
125,0.004957502022526174,15.537922484534127,0.4411732756630929,0.427785743614269,0.5067385444743936,0.45625278534604746
126,0.005007515661418438,15.387545006615776,0.08584375010239055,0.06844819503047352,0.10242587601078167,0.0820572462363507
